(280, 120)
Match Results 

Person 1 identified as 1 (img/att_faces/s1/10.pgm) with distance 47022989.48 	 unknown
Person 28 identified as 28 (img/att_faces/s28/6.pgm) with distance 14682983.95 	 correctly
Person 28 identified as 28 (img/att_faces/s28/2.pgm) with distance 22966852.17 	 correctly
Person 29 identified as 29 (img/att_faces/s29/1.pgm) with distance 26054432.09 	 correctly
Person 29 identified as 29 (img/att_faces/s29/5.pgm) with distance 22153599.09 	 correctly
Person 30 identified as 30 (img/att_faces/s30/9.pgm) with distance 27718104.68 	 correctly
Person 30 identified as 30 (img/att_faces/s30/4.pgm) with distance 20184904.84 	 correctly
Person 32 identified as 32 (img/att_faces/s32/2.pgm) with distance 25085519.33 	 correctly
Person 32 identified as 2 (img/att_faces/s2/10.pgm) with distance 36993735.96 	 incorrectly
Person 33 identified as 33 (img/att_faces/s33/2.pgm) with distance 11670794.10 	 correctly
Person 33 identified as 33 (img/att_faces/s33/5.pgm) with distance 29030517.49 	 correctly
Person 34 identified as 34 (img/att_faces/s34/2.pgm) with distance 22403611.60 	 correctly
Person 34 identified as 34 (img/att_faces/s34/5.pgm) with distance 13441650.58 	 correctly
Person 35 identified as 15 (img/att_faces/s15/9.pgm) with distance 32375726.97 	 incorrectly
Person 35 identified as 35 (img/att_faces/s35/6.pgm) with distance 28084778.94 	 correctly
Person 36 identified as 36 (img/att_faces/s36/8.pgm) with distance 18765218.12 	 correctly
Person 36 identified as 36 (img/att_faces/s36/9.pgm) with distance 29291417.46 	 correctly
Person 37 identified as 37 (img/att_faces/s37/1.pgm) with distance 9800092.78 	 correctly
Person 37 identified as 28 (img/att_faces/s28/8.pgm) with distance 18118613.36 	 incorrectly
Person 38 identified as 38 (img/att_faces/s38/5.pgm) with distance 18565914.45 	 correctly
Person 38 identified as 38 (img/att_faces/s38/2.pgm) with distance 11824336.31 	 correctly
Person 39 identified as 39 (img/att_faces/s39/4.pgm) with distance 12278125.84 	 correctly
Person 39 identified as 33 (img/att_faces/s33/1.pgm) with distance 29615576.96 	 incorrectly
Person 40 identified as 40 (img/att_faces/s40/2.pgm) with distance 14599370.82 	 correctly
Person 40 identified as 40 (img/att_faces/s40/5.pgm) with distance 37566238.46 	 correctly
Person 7 identified as 36 (img/att_faces/s36/9.pgm) with distance 32390735.95 	 incorrectly
Person 7 identified as 24 (img/att_faces/s24/1.pgm) with distance 38124081.70 	 incorrectly
Person 7 identified as 17 (img/att_faces/s17/10.pgm) with distance 40430592.11 	 unknown
Person 7 identified as 17 (img/att_faces/s17/8.pgm) with distance 37853137.67 	 incorrectly
Person 7 identified as 9 (img/att_faces/s9/10.pgm) with distance 43054549.01 	 unknown
Person 7 identified as 17 (img/att_faces/s17/4.pgm) with distance 36157440.04 	 incorrectly
Person 7 identified as 17 (img/att_faces/s17/8.pgm) with distance 32999657.65 	 incorrectly
Person 7 identified as 17 (img/att_faces/s17/6.pgm) with distance 33750503.04 	 incorrectly
Person 7 identified as 36 (img/att_faces/s36/9.pgm) with distance 40823117.12 	 unknown
Person 7 identified as 17 (img/att_faces/s17/2.pgm) with distance 29600604.47 	 incorrectly
Person 13 identified as 26 (img/att_faces/s26/2.pgm) with distance 36796215.30 	 incorrectly
Person 13 identified as 26 (img/att_faces/s26/2.pgm) with distance 43072002.31 	 unknown
Person 13 identified as 18 (img/att_faces/s18/4.pgm) with distance 50244771.24 	 unknown
Person 13 identified as 35 (img/att_faces/s35/5.pgm) with distance 38917804.86 	 unknown
Person 13 identified as 12 (img/att_faces/s12/6.pgm) with distance 42680540.92 	 unknown
Person 13 identified as 18 (img/att_faces/s18/4.pgm) with distance 23832886.37 	 incorrectly
Person 13 identified as 18 (img/att_faces/s18/4.pgm) with distance 36377900.90 	 incorrectly
Person 13 identified as 18 (img/att_faces/s18/4.pgm) with distance 34678909.93 	 incorrectly
Person 13 identified as 12 (img/att_faces/s12/6.pgm) with distance 32822207.25 	 incorrectly
Person 13 identified as 35 (img/att_faces/s35/6.pgm) with distance 47666547.36 	 unknown
Person 19 identified as 27 (img/att_faces/s27/5.pgm) with distance 29602503.92 	 incorrectly
Person 19 identified as 27 (img/att_faces/s27/2.pgm) with distance 27365518.56 	 incorrectly
Person 19 identified as 32 (img/att_faces/s32/8.pgm) with distance 42738489.97 	 unknown
Person 19 identified as 32 (img/att_faces/s32/2.pgm) with distance 37697273.62 	 incorrectly
Person 19 identified as 32 (img/att_faces/s32/5.pgm) with distance 43174280.55 	 unknown
Person 19 identified as 27 (img/att_faces/s27/1.pgm) with distance 43890830.94 	 unknown
Person 19 identified as 27 (img/att_faces/s27/2.pgm) with distance 31995494.60 	 incorrectly
Person 19 identified as 27 (img/att_faces/s27/2.pgm) with distance 32425269.84 	 incorrectly
Person 19 identified as 36 (img/att_faces/s36/10.pgm) with distance 36775641.71 	 incorrectly
Person 19 identified as 32 (img/att_faces/s32/10.pgm) with distance 42977959.07 	 unknown
Person 23 identified as 38 (img/att_faces/s38/9.pgm) with distance 30759566.61 	 incorrectly
Person 23 identified as 9 (img/att_faces/s9/9.pgm) with distance 29900276.53 	 incorrectly
Person 23 identified as 38 (img/att_faces/s38/10.pgm) with distance 39248818.10 	 unknown
Person 23 identified as 38 (img/att_faces/s38/10.pgm) with distance 33346594.14 	 incorrectly
Person 23 identified as 21 (img/att_faces/s21/5.pgm) with distance 39136634.67 	 unknown
Person 23 identified as 38 (img/att_faces/s38/2.pgm) with distance 35116821.60 	 incorrectly
Person 23 identified as 38 (img/att_faces/s38/2.pgm) with distance 28599818.48 	 incorrectly
Person 23 identified as 38 (img/att_faces/s38/8.pgm) with distance 33201809.57 	 incorrectly
Person 23 identified as 38 (img/att_faces/s38/9.pgm) with distance 35991365.14 	 incorrectly
Person 23 identified as 9 (img/att_faces/s9/6.pgm) with distance 31008857.00 	 incorrectly
Person 31 identified as 21 (img/att_faces/s21/10.pgm) with distance 24086329.42 	 incorrectly
Person 31 identified as 24 (img/att_faces/s24/5.pgm) with distance 54158140.91 	 unknown
Person 31 identified as 15 (img/att_faces/s15/8.pgm) with distance 59836212.09 	 unknown
Person 31 identified as 24 (img/att_faces/s24/2.pgm) with distance 71004776.69 	 unknown
Person 31 identified as 15 (img/att_faces/s15/8.pgm) with distance 60210383.33 	 unknown
Person 31 identified as 21 (img/att_faces/s21/4.pgm) with distance 38970762.13 	 unknown
Person 31 identified as 21 (img/att_faces/s21/8.pgm) with distance 26843420.25 	 incorrectly
Person 31 identified as 21 (img/att_faces/s21/4.pgm) with distance 26109414.63 	 incorrectly
Person 31 identified as 21 (img/att_faces/s21/10.pgm) with distance 22861878.98 	 incorrectly
Person 31 identified as 24 (img/att_faces/s24/6.pgm) with distance 67596181.89 	 unknown
**Database People**

# Test Images: 70 
% Right 0.84 

**Unknown People**

# Test Images: 50 
% Right 0.40 

**General Results**
# Test Images: 120 
% Right 0.66 

Correct Higher Distance: 37776363.14
Incorrect Lower Distance 18118613.36
Unknown Lower Distance 22861878.98
Correct Average Distance: 20879800.34
Incorrect Average Distance 13631465.30
Unknown Average Distance 38178110.60
